"code_group","code","description"
"Head Office Status","L","Live"
"Head Office Status","Z","Unverified"
"Head Office Status","D","Dormant"
"Client Type","G","Global Mutlinational"
"Client Type","L","Global Mutlinational"
"Client Type","Z","Other"
"Client Type","S","Subsidiary"
"Client Source","WMP","MPI Website"
"Client Source","MRE","Referral"
"Client Source","MEC","Existing Client Business"
"Client Source","MCC","Cold Call"
"Client Source","MGA","General Awareness"
"Client Status","L","Live"
"Client Status","D","Dormant"
"Client Status","Z","Unverified"
"Country","C00","Afghanistan"
"Country","C012","Albania"
"Country","C013","Algeria"
"Country","C014","American Samoa"
"Country","C015","Andorra"
"Country","C016","Angola"
"Country","C017","Anguilla"
"Country","C018","Antigua and Barbuda"
"Country","C02","Argentina"
"Country","C021","Armenia"
"Country","C022","Aruba"
"Country","C03","Australia"
"Country","C04","Austria"
"Country","C041","Azerbaijan"
"Country","C05","Bahamas"
"Country","C06","Bahrain"
"Country","C061","Bangladesh"
"Country","C062","Barbados"
"Country","C063","Belarus"
"Country","C07","Belgium"
"Country","C071","Belize"
"Country","C072","Benin"
"Country","C08","Bermuda"
"Country","C081","Bhutan"
"Country","C082","Bolivia"
"Country","C09","Bosnia and Herzegovina"
"Country","C091","Botswana"
"Country","C10","Brazil"
"Country","C102","Brunei"
"Country","C11","Bulgaria"
"Country","C110","Burkina Faso"
"Country","C111","Burundi"
"Country","C112","Cambodia"
"Country","C113","Cameroon"
"Country","C12","Canada"
"Country","C120","Cape Verde"
"Country","C13","Cayman Islands"
"Country","C130","Central African Republic"
"Country","C131","Chad"
"Country","C140","Chile"
"Country","C15","China"
"Country","C150","Christmas Island"
"Country","C151","Cocos Island"
"Country","C152","Colombia"
"Country","C153","Comoros"
"Country","C155","Congo, Republic of"
"Country","C154","Congo, Democratic Republic of"
"Country","C156","Cook Islands"
"Country","C157","Costa Rica"
"Country","C158","Cote d'Ivoire"
"Country","C159","Croatia"
"Country","C160","Cuba"
"Country","C161","Cyprus"
"Country","C16","Czech Republic"
"Country","C17","Denmark"
"Country","C170","Djibouti"
"Country","C171","Dominica"
"Country","C172","Dominican Republic"
"Country","C173","Ecuador"
"Country","C174","Egypt"
"Country","C180","El Salvador"
"Country","C181","Equatorial Guinea"
"Country","C182","Eritrea"
"Country","C19","Estonia"
"Country","C190","Ethiopia"
"Country","C192","Falkland Islands (Malvinas)"
"Country","C191","Faeroe Islands"
"Country","C193","Fiji"
"Country","C20","Finland"
"Country","C21","France"
"Country","C210","French Guiana"
"Country","C211","French Polynesia"
"Country","C212","Gabon"
"Country","C213","Gambia"
"Country","C214","Georgia"
"Country","C22","Germany"
"Country","C220","Ghana"
"Country","C221","Gibraltar"
"Country","C23","Greece"
"Country","C230","Greenland"
"Country","C231","Grenada"
"Country","C232","Guadeloupe"
"Country","C233","Guam"
"Country","C234","Guatemala"
"Country","C236","Guinea"
"Country","C237","Guinea-Bissau"
"Country","C238","Guyana"
"Country","C239","Haiti"
"Country","C240","Honduras"
"Country","C24","Hong Kong, China"
"Country","C25","Hungary"
"Country","C250","Iceland"
